Destination,Country,Annual_Tourists_Scaled,Spring,Summer,Autumn,Winter,Cost_of_Living_Encoded,Historic,Medieval,Beach,Architecture,Capital,Cluster
Bad Gastein,Austria,-0.9031506956730588,0,1,1,1,2.0,0,0,0,0,0,2
Brussels,Belgium,1.5395812436735363,1,0,1,0,2.0,0,0,0,0,1,3
Bruges,Belgium,1.4002465565390152,1,0,1,0,2.0,1,1,0,1,0,0
Ghent,Belgium,1.1067681874164903,1,0,1,0,1.0,1,1,0,1,0,0
Antwerp,Belgium,0.9674335158923976,1,0,1,0,2.0,0,0,0,1,0,1
Leuven,Belgium,0.5346205532979038,1,0,1,0,1.0,1,0,0,0,0,1
Dinant,Belgium,0.1018077468075683,1,0,1,0,1.0,0,0,0,0,0,1
Ypres,Belgium,-0.3310047474747989,1,0,1,0,1.0,1,0,0,0,0,1
Spa,Belgium,-0.6499722921053341,1,0,1,0,2.0,0,0,0,0,0,1
Ostend,Belgium,-0.9031506956730588,1,0,1,0,1.0,0,0,1,0,0,1
Namur,Belgium,-1.3359606923085443,1,0,1,0,1.0,1,0,0,0,0,1
Copenhagen,Denmark,1.5395812436735363,1,0,1,0,3.0,0,0,0,1,0,1
Aarhus,Denmark,0.6739551936011504,1,0,1,0,1.0,1,0,0,0,0,1
Odense,Denmark,0.3549869829275835,1,0,1,0,1.0,0,0,0,0,0,1
Legoland Billund,Denmark,0.6739551936011504,0,1,0,0,2.0,0,0,0,0,0,2
Ribe,Denmark,-0.3310047474747989,1,0,1,0,1.0,0,1,0,1,0,0
Roskilde,Denmark,-0.3310047474747989,1,0,1,0,1.0,0,0,0,0,0,1
Helsing?r,Denmark,-0.4703391380117843,1,0,1,0,2.0,0,0,0,0,0,1
Aalborg,Denmark,-0.6499722921053341,1,0,1,0,1.0,1,0,0,0,0,1
Aarhus Botanical Garden,Denmark,-1.3359606923085443,1,0,1,0,0.0,0,0,0,0,0,1
Tivoli Gardens,Denmark,0.9674335158923976,1,0,1,0,2.0,0,0,0,0,0,1
Berlin,Germany,1.7269717388180823,1,0,1,0,2.0,1,0,0,0,1,3
Munich,Germany,1.5395812436735363,1,0,1,0,2.0,1,0,0,1,0,1
Frankfurt,Germany,1.3168672507031067,1,0,1,0,3.0,1,0,0,0,0,1
Cologne,Germany,1.1067681874164903,1,0,1,0,1.0,1,0,0,0,0,1
Hamburg,Germany,1.1067681874164903,1,0,1,0,2.0,0,0,0,0,0,1
Dresden,Germany,0.7877998934873457,1,0,1,0,1.0,1,0,0,1,0,1
Heidelberg,Germany,0.5346205532979038,1,0,1,0,2.0,0,0,0,0,0,1
Rothenburg ob der Tauber,Germany,0.1018077468075683,1,0,1,0,1.0,0,1,0,0,0,0
Neuschwanstein Castle,Germany,0.3549869829275835,1,0,1,0,2.0,0,0,0,1,0,1
Black Forest,Germany,1.1067681874164903,1,0,1,0,2.0,0,0,0,0,0,1
Monaco-Ville,Monaco,0.7877998934873457,1,0,1,0,0.0,1,0,0,0,0,1
Monte Carlo,Monaco,0.7877998934873457,1,0,1,0,0.0,0,0,0,0,0,1
Casino Square,Monaco,0.5346205532979038,1,0,1,0,0.0,0,0,0,0,0,1
Oceanographic Museum,Monaco,0.1018077468075683,1,0,1,0,1.0,0,0,0,0,0,1
Japanese Garden,Monaco,-0.3310047474747989,1,0,1,0,0.0,0,0,0,0,0,1
Saint-Martin Gardens,Monaco,-0.6499722921053341,1,0,1,0,0.0,0,0,0,0,0,1
Exotic Garden,Monaco,-0.9031506956730588,1,0,1,0,0.0,0,0,0,0,0,1
Rainier III Botanical Garden,Monaco,-1.3359606923085443,1,0,1,0,0.0,0,0,0,0,0,1
Larvotto Beach,Monaco,-1.3359606923085443,0,1,1,0,0.0,0,0,1,0,0,2
Grimaldi Forum,Monaco,-1.7687675669275766,0,0,0,0,0.0,0,0,0,0,0,2
Moscow,Russia,1.6789159339301432,1,1,1,0,2.0,0,0,0,0,1,3
St. Petersburg,Russia,1.4002465565390152,1,1,1,0,2.0,1,0,0,0,0,1
Sochi,Russia,0.7877998934873457,0,1,0,0,2.0,0,0,1,0,0,2
Kazan,Russia,0.5346205532979038,1,1,1,0,1.0,1,0,0,0,0,1
Vladivostok,Russia,0.1018077468075683,1,1,1,0,2.0,0,0,0,0,0,1
Lake Baikal,Russia,0.6739551936011504,0,1,0,0,1.0,0,0,0,0,0,2
Kamchatka Peninsula,Russia,0.1018077468075683,0,1,0,0,2.0,0,0,0,0,0,2
Golden Ring,Russia,,1,1,1,0,1.0,1,1,0,1,0,0
Trans-Siberian Railway,Russia,,0,1,0,0,2.0,0,0,0,0,0,2
St. Basil's Cathedral,Russia,0.5346205532979038,1,1,1,0,0.0,0,0,0,1,0,1
Athens,Greece,1.5395812436735363,1,0,1,0,2.0,0,0,0,0,1,3
Santorini,Greece,0.5346205532979038,1,0,1,0,3.0,0,0,0,0,0,1
Mykonos,Greece,0.5346205532979038,1,0,1,0,3.0,0,0,1,0,0,1
Crete,Greece,0.7877998934873457,1,0,1,0,2.0,0,0,1,0,0,1
Rhodes,Greece,0.5346205532979038,1,0,1,0,2.0,1,1,1,0,0,0
Corfu,Greece,0.3549869829275835,1,0,1,0,1.0,0,0,1,1,0,1
Meteora,Greece,0.1018077468075683,1,0,1,0,1.0,0,0,0,0,0,1
Delphi,Greece,0.1018077468075683,1,0,1,0,1.0,0,0,0,0,0,1
Nafplio,Greece,-0.3310047474747989,1,0,1,0,1.0,1,0,1,0,0,1
Olympia,Greece,-0.3310047474747989,1,0,1,0,1.0,0,0,0,0,0,1
Lisbon,Portugal,0.8840542212067946,1,0,1,0,2.0,1,0,0,0,1,3
Porto,Portugal,0.6739551936011504,1,0,1,0,2.0,1,0,1,0,0,1
Algarve,Portugal,0.7877998934873457,1,0,1,0,2.0,0,0,1,0,0,1
Madeira,Portugal,0.1018077468075683,1,0,1,0,2.0,0,0,1,0,0,1
Sintra,Portugal,0.1018077468075683,1,0,1,0,2.0,1,0,0,0,0,1
?bidos,Portugal,-0.3310047474747989,1,0,1,0,1.0,0,1,0,0,0,0
Aveiro,Portugal,-0.6499722921053341,1,0,1,0,1.0,0,0,1,0,0,1
Braga,Portugal,-0.9031506956730588,1,0,1,0,1.0,1,0,0,1,0,1
Coimbra,Portugal,-1.0827833294233775,1,0,1,0,1.0,1,0,0,1,0,1
Douro Valley,Portugal,-0.3310047474747989,1,0,1,0,2.0,1,0,0,0,0,1
Oslo,Norway,0.6739551936011504,1,1,1,0,3.0,0,0,0,0,1,3
Bergen,Norway,0.3549869829275835,1,1,1,0,2.0,0,0,1,0,0,1
Sognefjord,Norway,0.1018077468075683,1,1,1,0,2.0,0,0,0,0,0,1
Geirangerfjord,Norway,-0.3310047474747989,1,1,1,0,2.0,0,0,0,0,0,1
Lofoten Islands,Norway,-0.3310047474747989,1,1,1,0,2.0,0,0,1,0,0,1
Troms?,Norway,-0.6499722921053341,1,1,1,0,2.0,0,0,0,0,0,1
Jotunheimen National Park,Norway,-0.9031506956730588,0,1,0,0,2.0,0,0,0,0,0,2
Hardangervidda National Park,Norway,-1.3359606923085443,0,1,0,0,2.0,0,0,0,0,0,2
Preikestolen,Norway,-0.6499722921053341,0,1,0,0,2.0,0,0,0,0,0,2
Flm,Norway,-1.7687675669275766,0,1,0,0,2.0,0,0,0,0,0,2
Stockholm,Sweden,0.6739551936011504,1,1,1,0,2.0,0,0,0,0,1,3
Gothenburg,Sweden,0.3549869829275835,1,1,1,0,1.0,0,0,0,0,0,1
Malm,Sweden,0.1018077468075683,1,1,1,0,1.0,0,0,1,1,0,1
Lapland,Sweden,-0.3310047474747989,0,1,0,1,2.0,0,0,0,0,0,2
Fjllbacka,Sweden,-0.9031506956730588,1,1,1,0,2.0,0,0,1,0,0,1
Visby,Sweden,-0.9031506956730588,1,1,1,0,2.0,0,1,0,0,0,0
Uppsala,Sweden,-1.0827833294233775,1,1,1,0,1.0,0,0,0,0,0,1
Kiruna,Sweden,-1.3359606923085443,1,1,1,0,2.0,0,0,0,0,0,1
Sarek National Park,Sweden,-1.7687675669275766,0,1,0,0,2.0,0,0,0,0,0,2
Vasa Museum,Sweden,0.1018077468075683,0,0,0,0,1.0,0,0,0,0,0,2
Zurich,Switzerland,0.7877998934873457,1,0,1,0,3.0,0,0,0,0,0,1
Geneva,Switzerland,0.5346205532979038,1,0,1,0,3.0,0,0,0,0,0,1
Lucerne,Switzerland,0.3549869829275835,1,0,1,0,2.0,1,0,0,0,0,1
Interlaken,Switzerland,0.1018077468075683,1,0,1,0,2.0,0,0,0,0,0,1
Zermatt,Switzerland,-0.3310047474747989,0,1,0,1,3.0,0,0,0,0,0,2
Jungfraujoch,Switzerland,-0.5537182319924052,0,0,0,0,3.0,0,0,0,0,0,2
Rhine Falls,Switzerland,0.1018077468075683,1,0,1,0,1.0,0,0,0,0,0,1
Swiss National Park,Switzerland,-1.3359606923085443,0,1,0,0,2.0,0,0,0,0,0,2
Gruyres,Switzerland,-1.7687675669275766,1,0,1,0,2.0,0,1,0,0,0,0
Montreux,Switzerland,-1.3359606923085443,1,0,1,0,2.0,0,0,0,0,0,1
Istanbul,Turkey,1.7927606671185827,1,0,1,0,2.0,1,0,0,0,0,1
Antalya,Turkey,1.5395812436735363,1,0,1,0,2.0,0,0,1,0,0,1
Cappadocia,Turkey,0.5346205532979038,1,0,1,0,2.0,0,0,0,0,0,1
Ephesus,Turkey,0.3549869829275835,1,0,1,0,1.0,0,0,0,0,0,1
Pamukkale,Turkey,0.1018077468075683,1,0,1,0,1.0,0,0,0,0,0,1
Bodrum,Turkey,0.1018077468075683,1,0,1,0,2.0,0,0,1,0,0,1
Fethiye,Turkey,-0.3310047474747989,1,0,1,0,2.0,0,0,1,0,0,1
Istanbul Grand Bazaar,Turkey,1.5395812436735363,0,0,0,0,2.0,0,0,0,0,0,2
Topkapi Palace,Turkey,1.1067681874164903,0,0,0,0,2.0,0,0,0,0,0,2
Blue Mosque,Turkey,0.5346205532979038,0,0,0,0,0.0,0,0,0,1,0,2
Kyiv,Ukraine,0.8840542212067946,1,1,1,0,2.0,1,0,0,1,1,3
Lviv,Ukraine,0.5346205532979038,1,1,1,0,1.0,1,1,0,1,0,0
Odessa,Ukraine,0.1018077468075683,1,1,1,0,1.0,0,0,1,0,0,1
Chernobyl Exclusion Zone,Ukraine,-1.3359606923085443,1,1,1,0,1.0,0,0,0,0,0,1
Carpathian Mountains,Ukraine,-0.3310047474747989,0,1,0,0,2.0,0,0,0,0,0,2
Kharkiv,Ukraine,-0.3310047474747989,1,1,1,0,1.0,0,0,0,0,0,1
Dnipro,Ukraine,-0.3310047474747989,1,1,1,0,1.0,1,0,0,0,0,1
Lviv Opera House,Ukraine,-1.3359606923085443,0,0,0,0,1.0,0,0,0,0,0,2
Andriyivski Descent,Ukraine,-1.3359606923085443,0,0,0,0,1.0,1,0,0,0,0,2
Pechersk Lavra,Ukraine,-1.3359606923085443,0,0,0,0,1.0,0,0,0,0,0,2
London,United Kingdom,2.1117290276522214,1,0,1,0,3.0,0,0,0,0,1,3
Edinburgh,United Kingdom,0.7877998934873457,1,0,1,0,2.0,0,1,0,0,1,0
Manchester,United Kingdom,0.5346205532979038,1,0,1,0,2.0,0,0,0,0,0,1
Liverpool,United Kingdom,0.3549869829275835,1,0,1,0,2.0,0,0,0,0,0,1
Cambridge,United Kingdom,0.1018077468075683,1,0,1,0,2.0,1,0,0,0,0,1
Lake District,United Kingdom,0.5346205532979038,1,0,1,0,2.0,0,0,0,0,0,1
Yorkshire Dales,United Kingdom,0.1018077468075683,1,0,1,0,2.0,0,0,0,0,0,1
The Cotswolds,United Kingdom,0.1018077468075683,1,0,1,0,2.0,1,0,0,1,0,1
Stonehenge,United Kingdom,0.1018077468075683,1,0,1,0,2.0,0,0,0,0,0,1
Scottish Highlands,United Kingdom,0.1018077468075683,1,0,1,0,2.0,0,0,0,0,0,1
Luxembourg City,Luxembourg,0.3549869829275835,1,0,1,0,2.0,0,1,0,0,1,0
Vianden,Luxembourg,-0.3310047474747989,1,0,1,0,2.0,0,1,0,0,0,0
Esch-sur-Alzette,Luxembourg,-0.6499722921053341,1,0,1,0,1.0,0,0,0,0,0,1
Luxembourg American Cemetery and Memorial,Luxembourg,-1.3359606923085443,0,0,0,0,0.0,0,0,0,0,0,2
Mullerthal,Luxembourg,-1.7687675669275766,1,0,1,0,1.0,0,0,0,0,0,1
Beaufort Castle,Luxembourg,-1.7687675669275766,1,0,1,0,1.0,0,1,0,0,0,0
Vianden Castle,Luxembourg,-1.7687675669275766,1,0,1,0,1.0,1,1,0,0,0,0
Grund,Luxembourg,-1.7687675669275766,1,0,1,0,2.0,0,0,0,0,0,1
Bettembourg,Luxembourg,-2.2015681976541863,1,0,1,0,1.0,1,0,0,0,0,1
Valletta,Malta,0.3549869829275835,1,0,1,0,2.0,1,0,0,1,1,3
Mdina,Malta,0.1018077468075683,1,0,1,0,2.0,0,1,0,0,0,0
Blue Lagoon,Malta,0.1018077468075683,0,1,0,0,2.0,0,0,1,0,0,2
Marsaxlokk,Malta,-0.3310047474747989,1,0,1,0,1.0,0,0,0,0,0,1
St. Paul's Bay,Malta,-0.3310047474747989,1,0,1,0,1.0,0,0,1,0,0,1
Rabat,Malta,-0.9031506956730588,1,0,1,0,1.0,1,0,0,0,0,1
Mosta,Malta,-0.9031506956730588,1,0,1,0,1.0,0,0,0,0,0,1
Marsaskala,Malta,-1.3359606923085443,1,0,1,0,1.0,1,0,1,0,0,1
Gozo,Malta,-1.7687675669275766,1,0,1,0,1.0,0,0,1,0,0,1
Comino,Malta,-2.340896656506714,1,0,1,0,1.0,0,0,1,0,0,1
Reykjavik,Iceland,0.6739551936011504,1,1,1,0,3.0,0,0,0,0,1,3
Blue Lagoon,Iceland,0.1018077468075683,0,0,0,0,3.0,0,0,0,0,0,2
Golden Circle,Iceland,0.1018077468075683,1,1,1,0,2.0,0,0,0,0,0,1
Skaftafell National Park,Iceland,-0.3310047474747989,0,1,0,0,2.0,0,0,0,0,0,2
Vatnajkull National Park,Iceland,-0.3310047474747989,0,1,0,0,2.0,0,0,0,0,0,2
Akureyri,Iceland,-0.9031506956730588,1,1,1,0,1.0,0,0,0,0,0,1
Snfellsjkull National Park,Iceland,-1.3359606923085443,1,1,1,0,1.0,0,0,1,0,0,1
Westfjords,Iceland,-1.7687675669275766,1,1,1,0,1.0,0,0,0,0,0,1
Jkuls rl¢n Glacier Lagoon,Iceland,-0.9031506956730588,0,1,0,0,2.0,0,0,0,0,0,2
Reynisfjara Black Sand Beach,Iceland,-1.3359606923085443,0,0,0,0,2.0,0,0,1,0,0,2
Belgrade,Serbia,0.3549869829275835,1,0,1,0,1.0,1,0,0,0,1,3
Novi Sad,Serbia,-0.3310047474747989,1,0,1,0,1.0,1,0,0,0,0,1
Ni?,Serbia,-0.6499722921053341,1,0,1,0,1.0,1,1,0,0,0,0
Belgrade Fortress,Serbia,-0.9031506956730588,0,0,0,0,0.0,1,0,0,0,0,2
Tara National Park,Serbia,-1.3359606923085443,0,1,0,0,2.0,0,0,0,0,0,2
Kopaonik,Serbia,-1.3359606923085443,0,1,0,1,2.0,0,0,0,0,0,2
Novi Sad Fortress,Serbia,-1.7687675669275766,0,0,0,0,0.0,1,0,0,0,0,2
Sremski Karlovci,Serbia,-2.2015681976541863,1,0,1,0,1.0,1,0,0,1,0,1
Subotica,Serbia,-2.340896656506714,1,0,1,0,1.0,0,0,0,1,0,1
Vrnja?ka Banja,Serbia,-2.7736785566798687,0,0,0,0,2.0,0,0,0,0,0,2
