Destination,Country,Annual_Tourists_Scaled,Spring,Summer,Autumn,Winter,Cost_of_Living_Encoded,Historic,Medieval,Beach,Architecture,Capital
Brussels,Belgium,1.5395812436735363,1,0,1,0,2.0,0,0,0,0,1
Bruges,Belgium,1.4002465565390152,1,0,1,0,2.0,1,1,0,1,0
Ghent,Belgium,1.1067681874164903,1,0,1,0,1.0,1,1,0,1,0
Antwerp,Belgium,0.9674335158923975,1,0,1,0,2.0,0,0,0,1,0
Leuven,Belgium,0.5346205532979038,1,0,1,0,1.0,1,0,0,0,0
Dinant,Belgium,0.10180774680756834,1,0,1,0,1.0,0,0,0,0,0
Ypres,Belgium,-0.3310047474747989,1,0,1,0,1.0,1,0,0,0,0
Spa,Belgium,-0.6499722921053341,1,0,1,0,2.0,0,0,0,0,0
Ostend,Belgium,-0.9031506956730587,1,0,1,0,1.0,0,0,1,0,0
Namur,Belgium,-1.3359606923085445,1,0,1,0,1.0,1,0,0,0,0
Copenhagen,Denmark,1.5395812436735363,1,0,1,0,3.0,0,0,0,1,0
Aarhus,Denmark,0.6739551936011504,1,0,1,0,1.0,1,0,0,0,0
Odense,Denmark,0.35498698292758357,1,0,1,0,1.0,0,0,0,0,0
Legoland Billund,Denmark,0.6739551936011504,0,1,0,0,2.0,0,0,0,0,0
Ribe,Denmark,-0.3310047474747989,1,0,1,0,1.0,0,1,0,1,0
Roskilde,Denmark,-0.3310047474747989,1,0,1,0,1.0,0,0,0,0,0
Helsing?r,Denmark,-0.4703391380117843,1,0,1,0,2.0,0,0,0,0,0
Aalborg,Denmark,-0.6499722921053341,1,0,1,0,1.0,1,0,0,0,0
Aarhus Botanical Garden,Denmark,-1.3359606923085445,1,0,1,0,,0,0,0,0,0
Tivoli Gardens,Denmark,0.9674335158923975,1,0,1,0,2.0,0,0,0,0,0
Berlin,Germany,1.7269717388180825,1,0,1,0,2.0,1,0,0,0,1
Munich,Germany,1.5395812436735363,1,0,1,0,2.0,1,0,0,1,0
Frankfurt,Germany,1.3168672507031067,1,0,1,0,3.0,1,0,0,0,0
Cologne,Germany,1.1067681874164903,1,0,1,0,1.0,1,0,0,0,0
Hamburg,Germany,1.1067681874164903,1,0,1,0,2.0,0,0,0,0,0
Dresden,Germany,0.7877998934873457,1,0,1,0,1.0,1,0,0,1,0
Heidelberg,Germany,0.5346205532979038,1,0,1,0,2.0,0,0,0,0,0
Rothenburg ob der Tauber,Germany,0.10180774680756834,1,0,1,0,1.0,0,1,0,0,0
Neuschwanstein Castle,Germany,0.35498698292758357,1,0,1,0,2.0,0,0,0,1,0
Black Forest,Germany,1.1067681874164903,1,0,1,0,2.0,0,0,0,0,0
Monaco-Ville,Monaco,0.7877998934873457,1,0,1,0,,1,0,0,0,0
Monte Carlo,Monaco,0.7877998934873457,1,0,1,0,,0,0,0,0,0
Casino Square,Monaco,0.5346205532979038,1,0,1,0,,0,0,0,0,0
Oceanographic Museum,Monaco,0.10180774680756834,1,0,1,0,1.0,0,0,0,0,0
Japanese Garden,Monaco,-0.3310047474747989,1,0,1,0,,0,0,0,0,0
Saint-Martin Gardens,Monaco,-0.6499722921053341,1,0,1,0,,0,0,0,0,0
Exotic Garden,Monaco,-0.9031506956730587,1,0,1,0,,0,0,0,0,0
Rainier III Botanical Garden,Monaco,-1.3359606923085445,1,0,1,0,,0,0,0,0,0
Larvotto Beach,Monaco,-1.3359606923085445,0,1,1,0,,0,0,1,0,0
Grimaldi Forum,Monaco,-1.7687675669275766,0,0,0,0,,0,0,0,0,0
Moscow,Russia,1.6789159339301432,1,1,1,0,2.0,0,0,0,0,1
St. Petersburg,Russia,1.4002465565390152,1,1,1,0,2.0,1,0,0,0,0
Sochi,Russia,0.7877998934873457,0,1,0,0,2.0,0,0,1,0,0
Kazan,Russia,0.5346205532979038,1,1,1,0,1.0,1,0,0,0,0
Vladivostok,Russia,0.10180774680756834,1,1,1,0,2.0,0,0,0,0,0
Lake Baikal,Russia,0.6739551936011504,0,1,0,0,1.0,0,0,0,0,0
Kamchatka Peninsula,Russia,0.10180774680756834,0,1,0,0,2.0,0,0,0,0,0
Golden Ring,Russia,,1,1,1,0,1.0,1,1,0,1,0
Trans-Siberian Railway,Russia,,0,1,0,0,2.0,0,0,0,0,0
St. Basil's Cathedral,Russia,0.5346205532979038,1,1,1,0,,0,0,0,1,0
Athens,Greece,1.5395812436735363,1,0,1,0,2.0,0,0,0,0,1
Santorini,Greece,0.5346205532979038,1,0,1,0,3.0,0,0,0,0,0
Mykonos,Greece,0.5346205532979038,1,0,1,0,3.0,0,0,1,0,0
Crete,Greece,0.7877998934873457,1,0,1,0,2.0,0,0,1,0,0
Rhodes,Greece,0.5346205532979038,1,0,1,0,2.0,1,1,1,0,0
Corfu,Greece,0.35498698292758357,1,0,1,0,1.0,0,0,1,1,0
Meteora,Greece,0.10180774680756834,1,0,1,0,1.0,0,0,0,0,0
Delphi,Greece,0.10180774680756834,1,0,1,0,1.0,0,0,0,0,0
Nafplio,Greece,-0.3310047474747989,1,0,1,0,1.0,1,0,1,0,0
Olympia,Greece,-0.3310047474747989,1,0,1,0,1.0,0,0,0,0,0
Lisbon,Portugal,0.8840542212067946,1,0,1,0,2.0,1,0,0,0,1
Porto,Portugal,0.6739551936011504,1,0,1,0,2.0,1,0,1,0,0
Algarve,Portugal,0.7877998934873457,1,0,1,0,2.0,0,0,1,0,0
Madeira,Portugal,0.10180774680756834,1,0,1,0,2.0,0,0,1,0,0
Sintra,Portugal,0.10180774680756834,1,0,1,0,2.0,1,0,0,0,0
?bidos,Portugal,-0.3310047474747989,1,0,1,0,1.0,0,1,0,0,0
Aveiro,Portugal,-0.6499722921053341,1,0,1,0,1.0,0,0,1,0,0
Braga,Portugal,-0.9031506956730587,1,0,1,0,1.0,1,0,0,1,0
Coimbra,Portugal,-1.0827833294233777,1,0,1,0,1.0,1,0,0,1,0
Douro Valley,Portugal,-0.3310047474747989,1,0,1,0,2.0,1,0,0,0,0
Oslo,Norway,0.6739551936011504,1,1,1,0,3.0,0,0,0,0,1
Bergen,Norway,0.35498698292758357,1,1,1,0,2.0,0,0,1,0,0
Sognefjord,Norway,0.10180774680756834,1,1,1,0,2.0,0,0,0,0,0
Geirangerfjord,Norway,-0.3310047474747989,1,1,1,0,2.0,0,0,0,0,0
Lofoten Islands,Norway,-0.3310047474747989,1,1,1,0,2.0,0,0,1,0,0
Troms?,Norway,-0.6499722921053341,1,1,1,0,2.0,0,0,0,0,0
Jotunheimen National Park,Norway,-0.9031506956730587,0,1,0,0,2.0,0,0,0,0,0
Hardangervidda National Park,Norway,-1.3359606923085445,0,1,0,0,2.0,0,0,0,0,0
Preikestolen,Norway,-0.6499722921053341,0,1,0,0,2.0,0,0,0,0,0
Flm,Norway,-1.7687675669275766,0,1,0,0,2.0,0,0,0,0,0
Stockholm,Sweden,0.6739551936011504,1,1,1,0,2.0,0,0,0,0,1
Gothenburg,Sweden,0.35498698292758357,1,1,1,0,1.0,0,0,0,0,0
Malm,Sweden,0.10180774680756834,1,1,1,0,1.0,0,0,1,1,0
Lapland,Sweden,-0.3310047474747989,0,1,0,1,2.0,0,0,0,0,0
Fjllbacka,Sweden,-0.9031506956730587,1,1,1,0,2.0,0,0,1,0,0
Visby,Sweden,-0.9031506956730587,1,1,1,0,2.0,0,1,0,0,0
Uppsala,Sweden,-1.0827833294233777,1,1,1,0,1.0,0,0,0,0,0
Kiruna,Sweden,-1.3359606923085445,1,1,1,0,2.0,0,0,0,0,0
Sarek National Park,Sweden,-1.7687675669275766,0,1,0,0,2.0,0,0,0,0,0
Vasa Museum,Sweden,0.10180774680756834,0,0,0,0,1.0,0,0,0,0,0
Zurich,Switzerland,0.7877998934873457,1,0,1,0,3.0,0,0,0,0,0
Geneva,Switzerland,0.5346205532979038,1,0,1,0,3.0,0,0,0,0,0
Lucerne,Switzerland,0.35498698292758357,1,0,1,0,2.0,1,0,0,0,0
Interlaken,Switzerland,0.10180774680756834,1,0,1,0,2.0,0,0,0,0,0
Zermatt,Switzerland,-0.3310047474747989,0,1,0,1,3.0,0,0,0,0,0
Jungfraujoch,Switzerland,-0.5537182319924052,0,0,0,0,3.0,0,0,0,0,0
Rhine Falls,Switzerland,0.10180774680756834,1,0,1,0,1.0,0,0,0,0,0
Swiss National Park,Switzerland,-1.3359606923085445,0,1,0,0,2.0,0,0,0,0,0
Gruyres,Switzerland,-1.7687675669275766,1,0,1,0,2.0,0,1,0,0,0
Montreux,Switzerland,-1.3359606923085445,1,0,1,0,2.0,0,0,0,0,0
Istanbul,Turkey,1.7927606671185827,1,0,1,0,2.0,1,0,0,0,0
Antalya,Turkey,1.5395812436735363,1,0,1,0,2.0,0,0,1,0,0
Cappadocia,Turkey,0.5346205532979038,1,0,1,0,2.0,0,0,0,0,0
Ephesus,Turkey,0.35498698292758357,1,0,1,0,1.0,0,0,0,0,0
Pamukkale,Turkey,0.10180774680756834,1,0,1,0,1.0,0,0,0,0,0
Bodrum,Turkey,0.10180774680756834,1,0,1,0,2.0,0,0,1,0,0
Fethiye,Turkey,-0.3310047474747989,1,0,1,0,2.0,0,0,1,0,0
Istanbul Grand Bazaar,Turkey,1.5395812436735363,0,0,0,0,2.0,0,0,0,0,0
Topkapi Palace,Turkey,1.1067681874164903,0,0,0,0,2.0,0,0,0,0,0
Blue Mosque,Turkey,0.5346205532979038,0,0,0,0,,0,0,0,1,0
Kyiv,Ukraine,0.8840542212067946,1,1,1,0,2.0,1,0,0,1,1
Lviv,Ukraine,0.5346205532979038,1,1,1,0,1.0,1,1,0,1,0
Odessa,Ukraine,0.10180774680756834,1,1,1,0,1.0,0,0,1,0,0
Chernobyl Exclusion Zone,Ukraine,-1.3359606923085445,1,1,1,0,1.0,0,0,0,0,0
Carpathian Mountains,Ukraine,-0.3310047474747989,0,1,0,0,2.0,0,0,0,0,0
Kharkiv,Ukraine,-0.3310047474747989,1,1,1,0,1.0,0,0,0,0,0
Dnipro,Ukraine,-0.3310047474747989,1,1,1,0,1.0,1,0,0,0,0
Lviv Opera House,Ukraine,-1.3359606923085445,0,0,0,0,1.0,0,0,0,0,0
Andriyivski Descent,Ukraine,-1.3359606923085445,0,0,0,0,1.0,1,0,0,0,0
Pechersk Lavra,Ukraine,-1.3359606923085445,0,0,0,0,1.0,0,0,0,0,0
London,United Kingdom,2.1117290276522214,1,0,1,0,3.0,0,0,0,0,1
Edinburgh,United Kingdom,0.7877998934873457,1,0,1,0,2.0,0,1,0,0,1
Manchester,United Kingdom,0.5346205532979038,1,0,1,0,2.0,0,0,0,0,0
Liverpool,United Kingdom,0.35498698292758357,1,0,1,0,2.0,0,0,0,0,0
Cambridge,United Kingdom,0.10180774680756834,1,0,1,0,2.0,1,0,0,0,0
Lake District,United Kingdom,0.5346205532979038,1,0,1,0,2.0,0,0,0,0,0
Yorkshire Dales,United Kingdom,0.10180774680756834,1,0,1,0,2.0,0,0,0,0,0
The Cotswolds,United Kingdom,0.10180774680756834,1,0,1,0,2.0,1,0,0,1,0
Stonehenge,United Kingdom,0.10180774680756834,1,0,1,0,2.0,0,0,0,0,0
Scottish Highlands,United Kingdom,0.10180774680756834,1,0,1,0,2.0,0,0,0,0,0
Luxembourg City,Luxembourg,0.35498698292758357,1,0,1,0,2.0,0,1,0,0,1
Vianden,Luxembourg,-0.3310047474747989,1,0,1,0,2.0,0,1,0,0,0
Esch-sur-Alzette,Luxembourg,-0.6499722921053341,1,0,1,0,1.0,0,0,0,0,0
Luxembourg American Cemetery and Memorial,Luxembourg,-1.3359606923085445,0,0,0,0,,0,0,0,0,0
Mullerthal,Luxembourg,-1.7687675669275766,1,0,1,0,1.0,0,0,0,0,0
Beaufort Castle,Luxembourg,-1.7687675669275766,1,0,1,0,1.0,0,1,0,0,0
Vianden Castle,Luxembourg,-1.7687675669275766,1,0,1,0,1.0,1,1,0,0,0
Grund,Luxembourg,-1.7687675669275766,1,0,1,0,2.0,0,0,0,0,0
Bettembourg,Luxembourg,-2.2015681976541863,1,0,1,0,1.0,1,0,0,0,0
Valletta,Malta,0.35498698292758357,1,0,1,0,2.0,1,0,0,1,1
Mdina,Malta,0.10180774680756834,1,0,1,0,2.0,0,1,0,0,0
Blue Lagoon,Malta,0.10180774680756834,0,1,0,0,2.0,0,0,1,0,0
Marsaxlokk,Malta,-0.3310047474747989,1,0,1,0,1.0,0,0,0,0,0
St. Paul's Bay,Malta,-0.3310047474747989,1,0,1,0,1.0,0,0,1,0,0
Rabat,Malta,-0.9031506956730587,1,0,1,0,1.0,1,0,0,0,0
Mosta,Malta,-0.9031506956730587,1,0,1,0,1.0,0,0,0,0,0
Marsaskala,Malta,-1.3359606923085445,1,0,1,0,1.0,1,0,1,0,0
Gozo,Malta,-1.7687675669275766,1,0,1,0,1.0,0,0,1,0,0
Comino,Malta,-2.340896656506714,1,0,1,0,1.0,0,0,1,0,0
Reykjavik,Iceland,0.6739551936011504,1,1,1,0,3.0,0,0,0,0,1
Blue Lagoon,Iceland,0.10180774680756834,0,0,0,0,3.0,0,0,0,0,0
Golden Circle,Iceland,0.10180774680756834,1,1,1,0,2.0,0,0,0,0,0
Skaftafell National Park,Iceland,-0.3310047474747989,0,1,0,0,2.0,0,0,0,0,0
Vatnajkull National Park,Iceland,-0.3310047474747989,0,1,0,0,2.0,0,0,0,0,0
Akureyri,Iceland,-0.9031506956730587,1,1,1,0,1.0,0,0,0,0,0
Snfellsjkull National Park,Iceland,-1.3359606923085445,1,1,1,0,1.0,0,0,1,0,0
Westfjords,Iceland,-1.7687675669275766,1,1,1,0,1.0,0,0,0,0,0
Jkuls rl¢n Glacier Lagoon,Iceland,-0.9031506956730587,0,1,0,0,2.0,0,0,0,0,0
Reynisfjara Black Sand Beach,Iceland,-1.3359606923085445,0,0,0,0,2.0,0,0,1,0,0
Belgrade,Serbia,0.35498698292758357,1,0,1,0,1.0,1,0,0,0,1
Novi Sad,Serbia,-0.3310047474747989,1,0,1,0,1.0,1,0,0,0,0
Ni?,Serbia,-0.6499722921053341,1,0,1,0,1.0,1,1,0,0,0
Belgrade Fortress,Serbia,-0.9031506956730587,0,0,0,0,,1,0,0,0,0
Tara National Park,Serbia,-1.3359606923085445,0,1,0,0,2.0,0,0,0,0,0
Kopaonik,Serbia,-1.3359606923085445,0,1,0,1,2.0,0,0,0,0,0
Novi Sad Fortress,Serbia,-1.7687675669275766,0,0,0,0,,1,0,0,0,0
Sremski Karlovci,Serbia,-2.2015681976541863,1,0,1,0,1.0,1,0,0,1,0
Subotica,Serbia,-2.340896656506714,1,0,1,0,1.0,0,0,0,1,0
Vrnja?ka Banja,Serbia,-2.7736785566798687,0,0,0,0,2.0,0,0,0,0,0
